,Energy (kCal),Carbs (g),Dietary Fiber (g),Total Sugar (g),Total Fat (g),Saturated Fat (g),Monounsaturated Fat (g),Polyunsaturated Fat (g),Protein (g),Sodium (mg)
Constant,"1.386e+04∗∗∗
(2,632)","2,169∗∗∗
(341.3)","111.2∗∗∗
(20.85)","932.7∗∗∗
(182.3)","418.2∗
(136.4)","152.1∗∗
(43.34)","127.2
(49.93)","104.9
(47.87)","379.2∗∗∗
(67.55)","2.424e+04∗
(7,932)"
MPC SNAP,"21.35∗∗
(5.415)","2.624∗∗
(0.706)","0.05674
(0.03546)","1.552∗∗∗
(0.3743)","0.9048∗
(0.2613)","0.3102∗∗
(0.08093)","0.3335∗
(0.09847)","0.185
(0.07945)","0.6903∗∗
(0.1794)","40.97
(18.82)"
Income,"4.294∗∗
(1.216)","0.4384
(0.1546)","0.03256∗∗∗
(0.006833)","0.1799
(0.1069)","0.2212∗
(0.06511)","0.05185
(0.03116)","0.08536∗∗
(0.02169)","0.06859∗∗∗
(0.01591)","0.1322∗∗∗
(0.0287)","5.011
(3.94)"
Income^2,"-0.0001903
(0.0001977)","-1.731e-05
(2.493e-05)","-1.858e-06
(9.345e-07)","-1.931e-06
(1.879e-05)","-9.115e-06
(1.031e-05)","2.536e-07
(6.204e-06)","-4.382e-06
(2.587e-06)","-4.203e-06
(1.405e-06)","-8.428e-06
(3.364e-06)","-0.0002194
(0.0005513)"
School Breakfast,"-6,490∗∗∗
(1,153)","-791.3∗∗∗
(155.7)","-52.78∗∗∗
(8.254)","-338.4∗∗
(87.23)","-282.6∗∗∗
(55.1)","-82.7∗∗∗
(16.78)","-102.9∗∗∗
(20.49)","-78.52∗∗∗
(17.48)","-197∗∗∗
(34.49)","-2.182e+04∗∗∗
(3,863)"
WIC,"-740.6
(1,501)","-102.8
(195.6)","-6.735
(10.58)","-34.02
(99.97)","-30.19
(77.99)","-9.676
(21.54)","-9.642
(29.34)","-11.12
(26.5)","-5.123
(44.34)","-620
(4,718)"
Female Head,"4,354∗
(1,264)","518.4∗
(166.4)","28.71
(9.702)","298.9∗
(91.06)","245∗∗
(65)","58.52
(19.59)","99.29∗∗∗
(23.99)","76.25∗
(21.95)","59.26
(43.27)","5,895
(5,748)"
Black,"-4,189
(1,613)","-605.3
(219.4)","-37.22∗∗
(10.35)","-327.6
(130.6)","-131.4
(79.3)","-88.04∗∗
(23.16)","-34.75
(29.87)","4.754
(25.51)","-154.6∗
(45.48)","-9,496
(5,648)"
Hispanic,"-3,107
(1,275)","-305.7
(176.7)","-4.49
(10.63)","-206.1
(97.35)","-173
(64.17)","-73.05∗∗
(18.34)","-65.18
(25.26)","-21.95
(22.49)","-73.66
(36.6)","-6,598
(4,832)"
Midwest,"3,103
(2,241)","221.3
(290.4)","1.725
(19.23)","183.9
(137.5)","164.2
(113.1)","71.17
(30.78)","65.75
(41)","10.22
(42.61)","184.7
(66.57)","2.215e+04∗
(7,176)"
South,"664.5
(1,937)","1.55
(252.7)","-0.1225
(17.34)","110.6
(122.6)","40.21
(98.39)","15.97
(26.13)","22.37
(34.17)","-2.153
(38.91)","49.07
(50.09)","1.517e+04
(6,166)"
West,"-2,094
(2,005)","-451.6
(263.5)","-8.249
(17.93)","-170.9
(128.1)","-37.08
(102.4)","11.16
(28.31)","-17.27
(35.24)","-30.31
(40.27)","-1.402
(50.77)","383.3
(4,762)"
Guest Meals,"2,083
(732.3)","287.2
(103.9)","12.71
(5.245)","174.9
(62.69)","88.32
(33.75)","28.95
(9.935)","33.81
(12.93)","19.82
(10.41)","41.88
(20.82)","7,286
(4,384)"
Non-Metro,"4,703
(2,327)","492.4
(311.3)","3.89
(14.01)","291.2
(188.2)","233.4
(116)","100.8
(36.92)","66.44
(42.51)","44.58
(35.85)","177.4
(92.53)","1,002
(7,201)"
